#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVT_MNM_20015_TT;You picked the wrong neighbor, my friends...;Il semble que vous ayez choisi le mauvais voisin...;Ihr habt euch die falschen Nachbarn ausgesucht, meine Freunde ...;;Escogisteis a la persona equivocada...;;;;;;;;;x
EVTDESC_MNM_7822;Finally, my devout servant has arrived. [devil_disciple.GetSocietyRank] [devil_disciple.GetBestName] is a most accomplished [devil_disciple.GetDWMagician] and well-versed in the hallowed secrets of [devil_disciple.GetDWDarkMagic]. With [devil_disciple.GetHerHim] at my side, I shall continue to carry out the work of the great [Root.GetDWDevil].;Finalement, mon fervent serviteur est arrivé. [devil_disciple.Get_Le_SocietyRank] [devil_disciple.GetBestName] est un[devil_disciple.Get_E] [devil_disciple.GetDWMagician] très accompli[devil_disciple.Get_E], et connaisseu[devil_disciple.GetRSe] dans les saints secrets de [devil_disciple.GetDWDarkMagic]. Avec [devil_disciple.GetLuiElle] à mes côtés, je continuerai à réaliser le travail du grand [Root.GetDWDevil].;Endlich, mein treuer Diener ist erschienen. [devil_disciple.GetSocietyRank] [devil_disciple.GetBestName] ist [devil_disciple.Geteineine] versierte[devil_disciple.GetrMale] [devil_disciple.GetDWMagician] und versteht sich bestens im Umgang mit den heiligen Geheimnissen von "[devil_disciple.GetDWDarkMagic]". Mit [devil_disciple.Getihmihr] an meiner Seite werde ich das Werk von [Root.GetDWDevil] vollenden.;;Por fin ha llegado mi fiel sirviente. [devil_disciple.GetBestName] es un[devil_disciple.GetXA] [devil_disciple.GetDWMagician] expert[devil_disciple.GetOA] en [devil_disciple.GetDWDarkMagic]. Con su ayuda, podremos llevar a cabo los deseos de [Root.GetDWDevil].;;;;;;;;;x
EVTDESC_MNM_7826;No person lives a life entirely devoid of sin, and neither does [corrupt_priest_target.GetTitledFirstName]. I just have to find some traits of [corrupt_priest_target.GetHerHis] character that I can build on...;Personne ne peut avoir une vie exempte de tout péché, et donc [corrupt_priest_target.Get_le_TitledFirstName] pas non plus. J'ai simplement à trouver parmi ses traits de caractère, ceux dont je pourrais me servir...;Niemand lebt ein Leben ohne Sünde, auch nicht [corrupt_priest_target.GetTitledFirstName]. Ich muss nur ein paar [corrupt_priest_target.GetHerHis]er Charakterzüge finden, die ich ausnutzen kann ...;;Nadie vive totalmente exento de pecado, ni siquiera [corrupt_priest_target.GetTitledFirstName]. Tengo que encontrar algún rasgo de su personalidad que pueda explotar.;;;;;;;;;x
EVTDESC_MNM_7830_arbitrary;My agents have revealed that [corrupt_priest_target.GetTitledFirstName] is not always equally just in his judgments. If [corrupt_priest_target.GetSheHe] were to visit and judge some of my criminals, I could encourage [corrupt_priest_target.GetHerHim] to judge based on appearance and whim. I shall write the invitation...;Mes agents ont révélé que [corrupt_priest_target.Get_le_TitledFirstName] ne prend pas toujours des décisions équitables. [corrupt_priest_target.GetSilSielleCap] me rendait visite et jugeait certains de mes criminels, je pourrais l'encourager à rendre un jugement basé sur l'apparence et les caprices. Je vais rédiger l'invitation...;Meine Beauftragten haben enthüllt, dass [corrupt_priest_target.GetTitledFirstName] nicht immer gerecht urteilt. Wenn [corrupt_priest_target.GetSheHe] auf Besuch kommt und einige meiner eigenen Verbrecher verurteilt, könnte ich [corrupt_priest_target.GetHerHim] ermutigen, auch Urteile basierend auf Aussehen oder einfach nur nach Lust und Laune zu fällen. Ich werde unverzüglich eine Einladung schreiben ...;;Mis agentes me han contado que [corrupt_priest_target.GetTitledFirstName] no siempre emite sus veredictos de manera justa. Organizaré un encuentro para que me ayude a juzgar a nuestros reos en función de su aspecto físico y procedencia. Voy a redactar la invitación.;;;;;;;;;x
EVTDESC_MNM_7830_cruel;[corrupt_priest_target.GetTitledFirstName]'s courtiers have learned not to walk too closely by [corrupt_priest_target.GetHerHim] at the top of the staircase. [corrupt_priest_target.GetSheHeCap] seems to quite enjoy them getting hurt. I'm sure [corrupt_priest_target.GetSheHe] would like to see my torture chamber! I shall write the invitation...;Les courtisans [corrupt_priest_target.Get_du_TitledFirstName] ont appris à ne pas marcher trop près d[corrupt_priest_target.GetEluiElle] en haut des escaliers. [corrupt_priest_target.GetIlElleCap] semble s'amuser à leur faire mal. Je suis sûr[Root.Get_E] qu'[corrupt_priest_target.GetIlElle] aimerait voir ma salle de torture ! Je vais rédiger l'invitation...;Die Höflinge von [corrupt_priest_target.GetTitledFirstName] haben gelernt, nicht zu nah an [corrupt_priest_target.Getihmihr] auf der Treppe vorbeizugehen. [corrupt_priest_target.GetSheHeCap] findet offenbar Gefallen daran, wenn sich andere verletzen. Ich bin sicher, [corrupt_priest_target.GetSheHe] würde gerne meine Folterkammer sehen wollen! Ich werde unverzüglich eine Einladung schreiben ...;;Los cortesanos de [corrupt_priest_target.GetTitledFirstName] saben que deben alejarse de las escaleras: ¡a su gobernante le divierte empujarlos escaleras abajo! Seguro que disfrutaría mucho con una visita guiada a mi cámara de torturas. Voy a redactar la invitación.;;;;;;;;;x
EVTDESC_MNM_7830_deceitful;[corrupt_priest_target.GetTitledFirstName]'s court appears to be in a mild state of confusion. [corrupt_priest_target.GetFirstName] seems to have a penchant for telling minor lies and watching the confusion that ensues. I should invite [corrupt_priest_target.GetHerHim] and show [corrupt_priest_target.GetHerHim] how much more rewarding the bigger lies are. I shall write the invitation...;[corrupt_priest_target.Get_Le_TitledFirstName] semble avoir un penchant pour dire de petits mensonges et voir le désordre qu'ils engendrent. Je devrais l'inviter et lui montrer comment sont récompensés de plus gros mensonges. Je vais rédiger l'invitation...;Am Hof von [corrupt_priest_target.GetTitledFirstName] herrscht ein Hauch von Verwirrung. [corrupt_priest_target.GetFirstName] hat anscheinend den Hang, harmlose Lügen zu verbreiten und den darauffolgenden Trubel zu beobachten. Ich sollte [corrupt_priest_target.GetHerHim] einladen und [corrupt_priest_target.Getihmihr] zeigen, wie viel schöner doch schwerwiegende Lügen sind. Ich werde unverzüglich eine Einladung schreiben ...;;La corte de [corrupt_priest_target.GetTitledFirstName] está un poco confusa. Parece que a su gobernante le gusta contar mentirijillas para crear malentendidos. Debo invitar a [corrupt_priest_target.GetFirstName] para demostrarle que las mentiras grandes son mucho más gratificantes. Voy a redactar la invitación.;;;;;;;;;x
EVTDESC_MNM_7830_envious;[corrupt_priest_target.GetTitledFirstName] apparently has problems coming to terms with [corrupt_priest_target.GetHerHim] not having what [corrupt_priest_target.GetHerHis] neighbor has. Perhaps I can convince [corrupt_priest_target.GetHerHim] of how right [corrupt_priest_target.GetHerHis] feelings are over a banquet. I shall write the invitation...;[corrupt_priest_target.Get_Le_TitledFirstName] a apparemment du mal avec ce que ses voisins possèdent et qu[corrupt_priest_target.GetEluiElle] ne possède pas. Je pourrais peut-être [corrupt_priest_target.GetLeLa] convaincre du bien-fondé de ses sentiments lors d'un banquet. Je vais rédiger l'invitation...;[corrupt_priest_target.GetTitledFirstName] kann sich offenbar nicht damit abfinden, dass [corrupt_priest_target.GetSheHe] nicht hat, was [corrupt_priest_target.GetHerHis]em Nachbarn gehört. Vielleich kann ich [corrupt_priest_target.GetHerHim] bei einem Bankett überzeugen, wie recht [corrupt_priest_target.GetSheHe] doch hat. Ich werde unverzüglich eine Einladung schreiben ...;;Parece que [corrupt_priest_target.GetTitledFirstName] envidia las posesiones de su vecino. Creo que podría apoyar sus opiniones al respecto durante un banquete. Voy a redactar la invitación.;;;;;;;;;x
EVTDESC_MNM_7830_gluttonous;My agents have uncovered rumors that [corrupt_priest_target.GetTitledFirstName] rather enjoys his feasts. Introducing [corrupt_priest_target.GetHerHim] to new, exotic flavors might fuel [corrupt_priest_target.GetHerHis] appetite even further. I shall write the invitation...;Mes agents ont découvert que [corrupt_priest_target.Get_le_TitledFirstName] aime les plaisirs de la table. Lui présenter de nouvelles saveurs exotiques pourrait attiser son appétit encore davantage. Je vais rédiger l'invitation...;Meine Beauftragten haben Gerüchte vernommen, wonach [corrupt_priest_target.GetTitledFirstName] sich gerne Speis und Trank widmet. Wenn ich [corrupt_priest_target.Getihmihr] neue, exotische Aromen präsentiere, könnte das [corrupt_priest_target.GetHerHis]en Appetit noch weiter anregen. Ich werde unverzüglich eine Einladung schreiben ...;;Mis agentes han oído rumores de que a [corrupt_priest_target.GetTitledFirstName] le pierden los festines. Si le ofrecemos sabores nuevos y exóticos, tal vez potenciemos su apetito aún más. Voy a redactar la invitación.;;;;;;;;;x
EVTDESC_MNM_7830_greedy;Thorough investigation has revealed [corrupt_priest_target.GetTitledFirstName] rather likes [corrupt_priest_target.GetHerHis] gold. I wonder if [corrupt_priest_target.GetSheHe] is a gambling [corrupt_priest_target.GetManWoman]? I shall write the invitation...;Des investigations poussées ont révélé que [corrupt_priest_target.Get_le_TitledFirstName] est assez attaché[corrupt_priest_target.Get_E] à son or. Je me demande [corrupt_priest_target.GetSilSielle] aime les jeux d'argent. Je vais rédiger l'invitation...;Gründliche Nachforschungen haben ergeben, dass [corrupt_priest_target.GetTitledFirstName] Gold nicht abgeneigt ist. Ich frage mich, ob [corrupt_priest_target.GetSheHe] dem Glücksspiel frönt? Ich werde unverzüglich eine Einladung schreiben ...;;Tras una investigación exhaustiva, hemos descubierto que a [corrupt_priest_target.GetTitledFirstName] le apasiona el oro. Me pregunto si también le interesarán los juegos de azar. Voy a redactar la invitación.;;;;;;;;;x
EVTDESC_MNM_7830_lustful;My agents have proved their worth! It would appear that [corrupt_priest_target.GetTitledFirstName] has a liking for the pleasures of the flesh. A night of debauchery could well turn [corrupt_priest_target.GetHerHis] secret liking into a publicly-known love. I shall write the invitation...;Mes agents ont prouvé leur valeur ! Apparemment, [corrupt_priest_target.Get_le_TitledFirstName] aurait un penchant pour les plaisirs de la chair. Une nuit de débauche pourrait bien faire de son secret, un amour connu de tous. Je vais rédiger l'invitation...;Meine Beauftragten haben ihre Sache gut gemacht! Wie es scheint, hat [corrupt_priest_target.GetTitledFirstName] eine Vorliebe für fleischliche Gelüste. Eine Nacht voller Ausschweifungen könnte [corrupt_priest_target.GetHerHis] Geheimnis zu einer öffentlich bekannten Liebschaft machen. Ich werde unverzüglich eine Einladung schreiben ...;;¡Mis agentes valen un potosí! Parece que a [corrupt_priest_target.GetTitledFirstName] le atraen los placeres carnales. Con una noche de libertinaje podríamos hacer que su interés secreto pasase a ser de conocimiento público. Voy a redactar la invitación.;;;;;;;;;x
EVTDESC_MNM_7830_proud;[corrupt_priest_target.GetTitledFirstName] seems to quite enjoy flattery and praise. I could organize a celebration in [corrupt_priest_target.GetHerHis] honor, affirming [corrupt_priest_target.GetSheHe] has reason to be haughty. I shall write the invitation...;[corrupt_priest_target.Get_Le_TitledFirstName] semble apprécier les flatteries. Je pourrais organiser une cérémonie en son honneur, en affirmant qu'[corrupt_priest_target.GetIlElle] a raison d'être hautain[corrupt_priest_target.Get_E]. Je vais rédiger l'invitation...;[corrupt_priest_target.GetTitledFirstName] scheinen Lob und Komplimente zu gefallen. Ich könnte eine Feier zu [corrupt_priest_target.GetHerHis]en Ehren geben, um [corrupt_priest_target.GetSheHe] davon zu überzeugen, dass [corrupt_priest_target.GetSheHe] allen Grund hat, überheblich zu sein. Ich werde unverzüglich eine Einladung schreiben ...;;Parece que a [corrupt_priest_target.GetTitledFirstName] le gustan la adulación y los cumplidos. Debo organizar un ágape en su honor para que su ego llegue a nuevas cotas. Voy a redactar la invitación.;;;;;;;;;x
EVTDESC_MNM_7830_slothful;It would seem that [corrupt_priest_target.GetTitledFirstName] is somewhat bothered by the hassles of ruling. I could show [corrupt_priest_target.GetHerHim] how much more enjoyable it is to do nothing, instead. I shall write the invitation...;Il semblerait que [corrupt_priest_target.Get_le_TitledFirstName] se passerait volontiers des tracas liés à son règne. Je pourrais lui montrer à quel point c'est plaisant de ne rien faire. Je vais rédiger l'invitation...;Offenbar hat [corrupt_priest_target.GetTitledFirstName] keine Geduld mit den Problemen, die einen Herrscher plagen. Ich könnte [corrupt_priest_target.Getihmihr] zeigen, wie viel schöner es ist, einfach nichts zu tun. Ich werde unverzüglich eine Einladung schreiben ...;;Parece que a [corrupt_priest_target.GetTitledFirstName] le molestan sus obligaciones como gobernante. Podría demostrarle lo placentero que es no hacer nada al respecto. Voy a redactar la invitación.;;;;;;;;;x
EVTDESC_MNM_7830_wroth;My agents met with several of [corrupt_priest_target.GetTitledFirstName]'s courtiers, who all spoke of barely-suppressed outbursts of anger on the part of their [corrupt_priest_target.GetLordLady]. I should speak with [corrupt_priest_target.GetFirstName] and convince [corrupt_priest_target.GetHerHim] to henceforth let it all out, instead. I shall write the invitation...;Mes agents ont rencontré plusieurs courtisans [corrupt_priest_target.Get_du_TitledFirstName], qui tous ont parlé d'accès de colère dont souffre leur [corrupt_priest_target.GetLordLady] lige. Je dois [corrupt_priest_target.GetLeLa] convaincre de ne plus du tout se retenir. Je vais rédiger l'invitation...;Meine Beauftragten haben sich mit mehreren Höflingen von [corrupt_priest_target.GetTitledFirstName] getroffen. Sie alle haben über [corrupt_priest_target.GetHerHis]e kaum unterdrückten Wutausbrüche gesprochen. Ich sollte mit [corrupt_priest_target.GetFirstName] reden und [corrupt_priest_target.GetHerHim] überzeugen, sich nicht mehr zurückzuhalten. Ich werde unverzüglich eine Einladung schreiben ...;;Mis agentes han hablado con varios cortesanos de [corrupt_priest_target.GetTitledFirstName], y todos han mencionado los incontrolables brotes de ira de su [corrupt_priest_target.GetLordLady]. Debo proponer un encuentro y sugerirle que estalle de verdad. Voy a redactar la invitación.;;;;;;;;;x
EVTDESC_MNM_7832_arbitrary;With my calm support [corrupt_priest_target.GetTitledFirstName] began to visibly enjoy sentencing people based on, for instance, their appearance, or the first sentence of their defense. A grateful [corrupt_priest_target.GetFirstName] afterwards told me [corrupt_priest_target.GetSheHe] far preferred this over the tedious process of listening to lengthy explanations...;Avec mon soutien apaisant, [corrupt_priest_target.Get_le_TitledFirstName] a visiblement apprécié punir des personnes en se basant, par exemple, sur leur apparence, ou la première phrase de leur justification. [corrupt_priest_target.GetFirstName], reconnaissant[corrupt_priest_target.Get_E], m'a ensuite dit qu'[corrupt_priest_target.GetIlElle] a largement préféré cette méthode au processus fastidieux consistant à écouter de longues explications...;Mit meiner stillen Unterstützung begann [corrupt_priest_target.GetTitledFirstName], sich sichtlich daran zu erfreuen, Menschen zum Beispiel nach ihrem Äußeren oder dem ersten Satz ihrer Verteidigungsrede zu verurteilen. [corrupt_priest_target.GetFirstName] dankte mir danach und sagte mir, wie sehr [corrupt_priest_target.GetSheHe] diese Art von Rechtsprechung doch dem langatmigen Prozess des Anhörens langwieriger Erklärungen vorzog ...;;Con mi apoyo sereno, [corrupt_priest_target.GetTitledFirstName] ha empezado a juzgar a los reos en función de cosas aleatorias, como su aspecto o la primera frase de su defensa. Posteriormente, me ha agradecido la invitación y me ha confesado que prefiere esta estrategia a tener que oír a los reos dar excusas durante horas.;;;;;;;;;x
EVTDESC_MNM_7832_bonus;It seems that liberating [corrupt_priest_target.GetTitledFirstName] from [corrupt_priest_target.GetHerHis] virtue has had unforeseen effects... Having finally discovered what [corrupt_priest_target.GetSheHe] has missed out on for all these years, [corrupt_priest_target.GetFirstName] has sunk headlong into utter depravity.;Il semble qu'avoir délivré [corrupt_priest_target.Get_le_TitledFirstName] de la vertu a eu des effets imprévus... Ayant enfin découvert ce dont [corrupt_priest_target.GetIlElle] avait manqué pendant toutes ces années, [corrupt_priest_target.GetFirstName] a sombré dans une totale dépravation.;[corrupt_priest_target.GetTitledFirstName] von [corrupt_priest_target.GetHerHis]er Tugend zu befreien, hatte offenbar unvorhergesehene Konsequenzen ... Nachdem [corrupt_priest_target.GetSheHe] endlich entdeckte, was [corrupt_priest_target.GetSheHe] all die Jahre verpasst hatte, ist [corrupt_priest_target.GetFirstName] in völliger Verwahrlosung versunken.;;Permitir que [corrupt_priest_target.GetTitledFirstName] se desprenda de su virtud ha tenido consecuencias inesperadas. Ahora que sabe lo que se ha estado perdiendo todos estos años, se ha zambullido de cabeza en las fieras aguas de la inmoralidad.;;;;;;;;;x
EVTDESC_MNM_7832_cruel;[corrupt_priest_target.GetTitledFirstName] and I had a lot of fun in the dungeons. The prisoners, not so much. Both [corrupt_priest_target.GetFirstName] and I discovered a new side of [corrupt_priest_target.GetHerHim] that was quite... unsettling. Not that it detracted from his gratitude.;[corrupt_priest_target.Get_Le_TitledFirstName] et moi nous nous sommes bien amusés dans les cachots. Les prisonniers, pas autant. Nous avons tous deux découvert un aspect de sa personnalité assez... troublant. Cependant, cela n'a pas nui à sa gratitude.;[corrupt_priest_target.GetTitledFirstName] und ich hatten eine Menge Spaß in den Kerkern. Die Gefangenen allerdings eher weniger. Sowohl ich als auch [corrupt_priest_target.GetFirstName] entdeckten eine neue Seite an [corrupt_priest_target.Getihmihr]. Eine ziemlich ... beunruhigende Seite. Nicht, dass [corrupt_priest_target.GetSheHe] mir deshalb weniger dankbar gewesen wäre.;;[corrupt_priest_target.GetTitledFirstName] y yo lo hemos pasado en grande en la mazmorra. Los prisioneros, no tanto. He descubierto una faceta sádica de [corrupt_priest_target.GetFirstName] de lo más desconcertante. Antes de irse me ha expresado su gratitud.;;;;;;;;;x
EVTDESC_MNM_7832_deceitful;As we feasted, I eventually subtly turned the conversation to the small lies [corrupt_priest_target.GetTitledFirstName] uses for [corrupt_priest_target.GetHerHis] amusement. We discussed how [corrupt_priest_target.GetSheHe], by using [corrupt_priest_target.GetHerHis] talent for lies, could reap far greater rewards than mere 'amusement'. Thoughtfully, [corrupt_priest_target.GetFirstName] agreed, and [corrupt_priest_target.GetSheHe] was most thankful to me for opening [corrupt_priest_target.GetHerHis] eyes.;Alors que nous festoyions, j'ai amené subtilement la conversation sur les petits mensonges que [corrupt_priest_target.Get_le_TitledFirstName] utilise pour se distraire. Nous avons discuté de comment [corrupt_priest_target.GetIlElle] pourrait récolter des récompenses beaucoup plus grandes que le simple 'amusement' en utilisant son talent pour les mensonges. Pensi[corrupt_priest_target.GetFVe], [corrupt_priest_target.GetFirstName] a accepté, et [corrupt_priest_target.GetIlElle] a été très reconnaissant[corrupt_priest_target.Get_E] envers moi de lui avoir ouvert les yeux.;Als wir aßen, lenkte ich irgendwann das Gespräch vorsichtig auf die harmlosen Lügen, die [corrupt_priest_target.GetTitledFirstName] zum Spaß verbreitet. Wir redeten darüber, wie [corrupt_priest_target.GetSheHe] das Talent für Lügen für weitaus Größeres als nur "Amüsement" nutzen könnte. [corrupt_priest_target.GetFirstName] stimmte bedächtig zu und [corrupt_priest_target.GetSheHe] war mir äußerst dankbar dafür, [corrupt_priest_target.GetHerHis]e Augen geöffnet zu haben.;;Durante el festín, dirigí la conversación paulatinamente hacia las mentirijillas que [corrupt_priest_target.GetTitledFirstName] cuenta por diversión. Sugerí que, con su talento para el embuste, podría conseguir mucho más que simple entretenimiento. Me dio la razón con gesto pensativo y me agradeció mi franqueza.;;;;;;;;;x
EVTDESC_MNM_7832_envious;As we feasted I subtly directed the conversation towards [corrupt_priest_target.GetTitledFirstName]'s neighbor. Through carefully-dropped hints I convinced [corrupt_priest_target.GetFirstName] that [corrupt_priest_target.GetSheHe] does indeed rightfully covet much that is owned by others. The reinforcing effect this had on [corrupt_priest_target.GetHerHis] envy has already become very clear.;Alors que nous festoyions, j'ai subtilement amené la conversation sur des voisins [corrupt_priest_target.Get_du_TitledFirstName]. Grâce à des conseils soigneusement choisis, je l'ai convaincu[corrupt_priest_target.Get_E] qu'[corrupt_priest_target.GetIlElle] avait raison de convoiter ce qui est possédé par d'autres. L'effet de renforcement que cela a eu était perceptible.;Als wir aßen, lenkte ich das Gespräch vorsichtig auf den Nachbarn von [corrupt_priest_target.GetTitledFirstName]. Nach und nach machte ich gewisse Andeutungen und überzeugte [corrupt_priest_target.GetFirstName], dass [corrupt_priest_target.GetSheHe] wirklich recht damit hatte, das Eigentum anderer zu begehren. Es hat sich bereits deutlich gezeigt, was für eine bekräftigende Wirkung es auf [corrupt_priest_target.GetHerHis]e Gier hatte.;;Durante el festín, dirigí la conversación hacia el vecino de [corrupt_priest_target.GetTitledFirstName]. Tras escuchar sus palabras, afirmé que tenía razón al desear todas las posesiones los demás. Mis comentarios reafirmaron su opinión y su envidia es cada vez más evidente.;;;;;;;;;x
EVTDESC_MNM_7832_gluttonous;The lavish feast to which I invited [corrupt_priest_target.GetTitledFirstName] have paid off, and [corrupt_priest_target.GetSheHe] has already started to consume vast quantities of the delicacies I introduced [corrupt_priest_target.GetHerHim] to. Before [corrupt_priest_target.GetSheHe] left, [corrupt_priest_target.GetSheHe] made sure I understood how grateful [corrupt_priest_target.GetSheHe] was for the experience.;La fête somptueuse à laquelle j'ai invité [corrupt_priest_target.Get_le_TitledFirstName] a porté ses fruits, et [corrupt_priest_target.GetIlElle] a déjà commencé à consommer en grandes quantités les mets délicats que je lui ai présentés. Avant qu'[corrupt_priest_target.GetIlElle] ne parte, [corrupt_priest_target.GetIlElle] s'est assuré[corrupt_priest_target.Get_E] que j'avais compris combien [corrupt_priest_target.GetIlElle] m'était reconnaissant[corrupt_priest_target.Get_E] de lui avoir fait vivre ce moment.;Der verschwenderische Festschmaus, zu dem ich [corrupt_priest_target.GetTitledFirstName] eingeladen habe, hat sich bezahlt gemacht und [corrupt_priest_target.GetSheHe] hat bereits begonnen, riesige Mengen an Delikatessen, die ich [corrupt_priest_target.Getihmihr] gezeigt habe, zu verschlingen. Bevor [corrupt_priest_target.GetSheHe] ging, sagte [corrupt_priest_target.GetSheHe] mir noch, wie dankbar [corrupt_priest_target.GetSheHe] für dieses Erlebnis war.;;"Ha valido la pena invitar a [corrupt_priest_target.GetTitledFirstName] a un copioso festín. Ya ha empezado a consumir cantidades ingentes de algunas de las delicias que le mostré. Antes de irse, me expresó su profundo agradecimiento por "tan generosa invitación".";;;;;;;;;x
EVTDESC_MNM_7832_greedy;During our games of chance [corrupt_priest_target.GetTitledFirstName] struggled more and more to hide [corrupt_priest_target.GetHerHis] fondness for the gold coins on the table. With some well-placed words I managed to make [corrupt_priest_target.GetHerHim] come to terms with [corrupt_priest_target.GetHerHis] greed. Letting [corrupt_priest_target.GetFirstName] win most of the games ensured [corrupt_priest_target.GetSheHe] left both thankful and in high spirits.;Pendant nos jeux de hasard, [corrupt_priest_target.Get_le_TitledFirstName] a lutté de plus en plus pour cacher son penchant pour les pièces d'or sur la table. Avec quelques mots bien placés, j'ai réussi à [corrupt_priest_target.GetLeLa] faire se réconcilier avec la cupidité. [corrupt_priest_target.GetLeLaCap] laisser gagner la plupart des jeux l'a rendu[corrupt_priest_target.Get_E] à la fois reconnaissant[corrupt_priest_target.Get_E] et de bonne humeur.;Während unserer Glücksspiele hatte [corrupt_priest_target.GetTitledFirstName] mehr und mehr Schwierigkeiten damit, [corrupt_priest_target.GetHerHis]e Liebe für die Goldmünzen auf dem Tisch zu verheimlichen. Mit einigen vorsichtig gewählten Worten gelang es mir, [corrupt_priest_target.GetHerHim] zu überzeugen, der Gier nachzugeben. Ich habe [corrupt_priest_target.GetFirstName] die meisten Spiele gewinnen lassen und [corrupt_priest_target.GetSheHe] ist dankbar und mit guter Laune nach Hause gegangen.;;Durante los juegos de azar, se fue haciendo cada vez más evidente la devoción que [corrupt_priest_target.GetTitledFirstName] tiene por el oro. Con un discurso esmerado logré que acabara por asumir su codicia. Durante el resto de la noche me dejé ganar para que la visita se fuese agradecida y de buen humor.;;;;;;;;;x
EVTDESC_MNM_7832_lustful;The raunchy nights of pleasure and debauchery I hosted at my court for [corrupt_priest_target.GetTitledFirstName] seem to have truly freed [corrupt_priest_target.GetHerHim] from [corrupt_priest_target.GetHerHis] remaining inhibitions. [corrupt_priest_target.GetSheHeCap] is most thankful to me for showing [corrupt_priest_target.GetHerHim] [corrupt_priest_target.GetSheHe] needs not be ashamed of pursuing pleasure.;Les nuits torrides de plaisir et de débauche que j'ai accueillies à ma cour pour [corrupt_priest_target.Get_le_TitledFirstName] semblent l'avoir vraiment libéré de ses dernières inhibitions. [corrupt_priest_target.GetIlElleCap] est très reconnaissant[corrupt_priest_target.Get_E] de lui avoir montré qu'[corrupt_priest_target.GetIlElle] n'a pas à rougir de rechercher le plaisir charnel.;Die ausgelassenen Nächte der Lust und der Ausschweifungen, die ich für [corrupt_priest_target.GetTitledFirstName] an meinem Hof veranstaltet habe, scheinen [corrupt_priest_target.GetHerHim] wirklich von allen restlichen Hemmungen losgelöst zu haben. [corrupt_priest_target.GetSheHeCap] ist mir äußerst dankbar dafür, [corrupt_priest_target.Getihmihr] gezeigt zu haben, dass sich niemand für ein Leben der Lust schämen muss.;;La sórdidas noches de placer y libertinaje que organicé en la corte para [corrupt_priest_target.GetTitledFirstName] parecen haberle permitido perder todo el recato que le quedaba. Me ha agradecido que le enseñara que no debemos avergonzarnos de perseguir los bajos placeres.;;;;;;;;;x
EVTDESC_MNM_7832_proud;Over the course of the celebrations [corrupt_priest_target.GetTitledFirstName]'s ego inflated like a bloated cow. [corrupt_priest_target.GetSheHeCap] has already become insufferable to be around, but at least [corrupt_priest_target.GetSheHe] was exceedingly grateful that I 'finally recognized [corrupt_priest_target.GetHerHis] greatness'...;Au cours des festivités, l'ego [corrupt_priest_target.Get_du_TitledFirstName] a gonflé au possible. C'était même devenu insupportable d'être en sa compagnie, mais au moins [corrupt_priest_target.GetIlElle] était extrêmement reconnaissant[corrupt_priest_target.Get_E] envers moi pour avoir « reconnu sa grandeur »...;Im Laufe der Feier wuchs das Ego von [corrupt_priest_target.GetTitledFirstName] auf die Größe einer aufgeblähten Kuh an. [corrupt_priest_target.GetSheHeCap] war schon vorher nur schwer zu ertragen, aber wenigstens war [corrupt_priest_target.GetSheHe] unendlich dankbar, dass ich endlich [corrupt_priest_target.GetHerHis]e "wahre Größe" erkannt habe ...;;Durante la celebración, el ego de [corrupt_priest_target.GetTitledFirstName] se hinchó como un globo. Se ha vuelto insoportable, pero al menos me ha agradecido que finalmente haya sabido ver su grandeza.;;;;;;;;;x
EVTDESC_MNM_7832_slothful;Over the past few days [corrupt_priest_target.GetTitledFirstName] and I did almost every conceivable thing... except managing a court. I have never seen [corrupt_priest_target.GetHerHim] happier, and [corrupt_priest_target.GetSheHe] seemed most excited to spend less time ruling and more time enjoying life.;Au cours des derniers jours, [corrupt_priest_target.Get_le_TitledFirstName] et moi avons fait presque toutes les choses imaginables... hormis la gestion d'une cour. Je ne l'ai jamais vu[corrupt_priest_target.Get_E] plus heureu[corrupt_priest_target.GetXSe], et [corrupt_priest_target.GetIlElle] semblait excité[corrupt_priest_target.Get_E] à l'idée de passer moins de temps à gouverner et plus de temps à profiter de la vie.;In den letzten Tagen haben [corrupt_priest_target.GetTitledFirstName] und ich fast alles Erdenkliche getan ... alles, außer den Hof zu verwalten. Ich habe [corrupt_priest_target.GetHerHim] noch nie fröhlicher erlebt und [corrupt_priest_target.GetSheHe] schien sehr davon eingenommen, weniger Zeit mit Herrschen zu verbringen und mehr damit, das Leben zu genießen.;;Me he pasado los últimos días haciendo las actividades más peregrinas con [corrupt_priest_target.GetTitledFirstName]. Lo que fuera con tal de que no gestionase la corte. Nunca había visto a alguien tan dichoso. No cabe duda de que prefiere disfrutar la vida a gobernar.;;;;;;;;;x
